,Business,Auth Score
191,8T2EEQMVVqv18YSJkeBqBQ,77
192,bzny-7M_JjYHsKuoCpg0eQ,145
193,kZCleRE760TMEZYWrVgzWA,121
194,T0HO3KwNCrvo0gno2EpLmg,41
195,_Y7nha0oQ_v3-wxxuFf_Zw,95
196,yp8Yt37mMW7bx_YwWl8lQQ,182
197,jxTMV3hjxrmuDWn1fZdnag,49
198,QY-1E9Qwz9jKrqvrJ9BwzQ,169
199,t4YDCn09E3TbPT_aC3qiQw,24
200,-cmLahbAhCgi-Zw24eQvqg,719
201,2vjFxnObk7dRm-sHhKBEdQ,96
202,s2KWIFpRfyY2dPPRZ9SA-g,16
203,KOR9b08XtaUQ3ipBwt9dxg,202
204,orQWK_ERp45wSBJm1joisA,1059
205,SF4tAIuRHbQyP0A_4B_cRg,115
206,ObbnjzKq3Sl03XzskNNOGg,46
207,8sBA-kBlOyqXjw0nMaH-BQ,47
208,mAM8m5iXalmqmFT6aQsyZA,1882
209,41HdFGoAr5AzaKtyvg7Ljg,5
210,aXqykbWTlx3IO-20cjf2Kg,48
211,fPaC6JozeKbF2siTdzGxRw,962
212,k0p_q7FgCpaG3QCrTlOs1A,87
213,FQb0d0RdyYVFoctHL2WRLw,64
214,QXFzz9YI6-Pifb1bQbQm3Q,14
215,f5hNlPv3nb7J-iYUs_HYIg,41
216,ys4IH6aGcYXBMlWo3U3CNg,86
217,fxeu4DNRXfEkNXZ3wc5HQg,846
218,gPAUPgialT8wu5wx3bpx1Q,165
219,LQ4q_6nghQ5LL5r6hur1pQ,27
220,J6l9_o3jBPGoHpLBvGEO3Q,97
221,7ZLk8ckPTdOrSmT7pJiR5g,26
222,m5UrrCElICh8lalXBngcFw,217
223,28SbJze_jyShFsj9CKmlEA,15
224,WBhSjHyoo4Hqi0YLNlOsgA,337
225,FcI8kxlAI9Ut4wRA2xa3bQ,17
226,89r2ZrX-RjOLm4dk2zHE1w,32
227,nnzC-mRpElzW89FvpymChQ,27
228,OqeI84LHBO0g0xVRFywsDg,1075
229,aR2kk9lWxp2GybVdmrpmSg,188
230,GwzZPf2CeIrlcgsBnWu-og,115
231,fdkef52EDfCSPBa4Gtyoxw,18
232,go_6CFoto66Booj4007G5g,15
233,Pla6axzpJ3VUgperN4LVzA,145
234,uYsv_qMl_068yijGtbrUmQ,93
235,GRu4FBOkyUYEnA03ZgOKmA,217
236,JkhXi-3RJtmUTlkjrSdWSw,2840
237,ujMV3zBgbeYgW0gNmghujQ,18
238,0cq2epPBkZGcTeX4qtRPxQ,17
239,zzA7GQUwsLoy5uTXolJg2A,40
240,0Y5XXVsq6vKu5HL5yf7p5w,943
241,0rvoQUhNzfu15rNM8j4_RQ,67
242,Aef2pZlrprc4SV3tUgHbwA,774
243,6exKqf0SgNASMQuOSndYlA,32
244,c2NE2sy4ONQnKyHFvXdG0Q,44
245,tTZ9P5srVe1qGkDzixqiZQ,22
246,-cwohL_LlHhO-M7GXdmSiA,24
247,2Zujt4BHGByOkTy-4Ayekw,33
248,quLOhGEbXcA7OCfVC5Ym4g,81
249,n_scA6sXF1dhXMD3OyBmnA,38
250,dygLk6_vDgWW0UuIoU1JAg,41
251,A9vigLhmcUgSa-GWtuRAkg,8
252,dech80KJVPLqAEbt6ogkSw,17
253,X0ARN2Brd5oajPMzxZnl3Q,12
254,-YX1ipuGO1PXKoSoPQvF1g,33
255,lfve4YlJrJBcfkQrwkjQrw,15
256,b3GQyje-shvbi6hawqyuJQ,52
257,75Z0hp-jONSM4kLUiPxEEw,447
258,BCj2GtPukWqxMGldB4Pb3g,74
259,PUqo2TsV20_KnZgEPraqIw,19
260,7H_eVAxnqfN_9_5kZmyhMw,187
261,gEIlgEBS1IxzKQvJyCmiKA,15
262,_Upa5fzx1oValc6pXlzz6Q,134
263,GobfrBZcaDBtCM8P94NpOw,93
264,SuUw1HBgguftCDvVUcam4A,52
265,ItVN3K0xIFdIiu5dk2huvA,1701
266,n0wBuuymh2a63x_UyDUTGg,65
267,abBoCdgZkbmLYrMqHZyspw,9
268,Uj11HAnW6wHvS_Qel3BHOw,746
269,XZHZEJudlabAh9113L3pfQ,13
270,2_CoNRhyNbjKPshYuMfwGw,113
271,PyVnCE21xOfBfhOT03wynQ,233
272,UWEAE6BY_R3sHCDSWsf83Q,34
273,29VxDs9GWhRxutRnyPgQcg,36
274,FtDPbKn8w7cwepW7gqe24w,406
275,EBCC-k-wrhW2aAXwm6ASiw,8
276,HRRQtgM0D4s0KFfr2q8b4g,299
277,uyW6OtCjZmPzYiAvPw60cA,112
278,BOhJTLZogVVLj9AFao9pOg,74
279,o1qJAzcr-ilJGmYmhCzS3g,74
280,KE9te3_R6YRTaAAyK42Cwg,25
281,bf9mrBeCKyk_RbMJxoPEBw,57
282,D2raVrnJ3ncGnNijLwGD5w,15
283,XpiHVCqY5xfU7FxpaBf2Zg,15
284,3_oSDDdeK-j4p741sjUDSA,50
285,U0ekeaed4uUdrMe00Vn4ew,658
286,KScykVsMWJTz-fstyYAS8g,217
287,AXTSdBFC1GOa9KZ26wAI0A,65
288,X7jo2FhFdJZ5QUMEYi3nhA,28
289,Vvplg-ZyApIrHU4eeJupgQ,28
290,sU1hgeFw07ny3oy-V5IcXw,302
291,XGn8YnJPmmty9DGRgnUxWQ,94
292,nboC7H0-4YlJsovMssegQg,117
293,dfciAlE88XpIpZJxa9JbXg,42
294,lLTHrKqW4EkJbmrDPe3rUA,38
295,G4dudzFdmaPoPkGWb3MU7Q,7
296,eAhl-7mlxOKCbK_HubWWlQ,126
297,cqw6szES-3kunEubQ4nrwg,25
298,LWIaZXIuWzxrjmwwROKE0A,45
299,fbJYo0oN9895EITvThL7rg,40
300,0lmcVfr2QC59VKIe_cV17g,10
301,Lk6g8wurl8Y8694rm46rqA,42
302,wEojNzVdunMRSHTYKILbrQ,23
303,sEdfswGxHyrpK9EnUPnlMw,12
304,T1r8VNuEWlsmmHCER4nnUA,619
305,c70YG0fxzomQ3vQs0gP-2g,60
306,EDuIorJbeoSNLpGgCHI2dA,7
307,mnSyFx1rscaFTsC3ZRUpNw,517
308,l-0VbWbaWL1JbJjFintnkA,242
309,GI44wtiGSD5kXTXN5mXxPA,98
310,qSF0uQueJT5fBqcjMqAVrw,132
311,Y4upEeAyc9xaGNlHMMiaTA,96
312,4-T5cEsJ5NtIDm3eItgpyA,5
313,7I4SSq8xajMhucSoPUODfA,89
314,ZbD1yKuzecbySCdr07UNVg,122
315,KPWCI3loLbmxsdFXUf1HyQ,36
316,AePaxKtozm0w0EONWjqXeA,23
317,UYRppuRxEQ5-iTP1HE5o0w,110
318,oDGmRYtgHzK_fugbbH2ckQ,256
319,Sn9hihhn1veG23faWDTu1g,302
320,1WqiMAuGjKQr_EXVcN5Bnw,387
321,cc5-XfEoB838xvBB10e3cQ,291
322,Z_VN4TBmTBWBJNAg3nQwdg,157
323,gTbp7VLoKzWjMxxxsaoX1w,15
324,Ku_njtHdgT80Q38k-oR7Gw,132
325,7L7MnWF0LTyaF3fuHh10Zw,25
326,SSOpf_DYUEbtSBqWwaQ-TA,670
327,PiiU0eP0CfmCVgWubeHVWQ,33
328,KJd5_7hejTqavmFXNORNLg,23
329,blH8bw_G2mqoY9vha7nQSA,9
330,6PvIP_HR8n8XLeKN7HfMgA,78
331,wYpSVRPZmUQK9esKGudOdw,22
332,sVDjNCnEb7voV9-HKu4j0A,30
333,--oBEBz4LU1tgA3Ys-BVeQ,11
334,f4KZNHl5coTTQClU0oOScA,15
335,eoENiZ7WyG_M1CH4O-qOyg,18
336,LnYGNd5wz1-IG-_s0JUxVg,13
337,RxngSu8VYGlwZyeOPNw2mw,255
338,GtDV4mxC-NfSTDRnxf8VFw,20
339,k0KhcOuhXxxrsWTAJfqjVA,232
340,zaXsV-vyYHd0mGAqOfpg6g,74
341,yN9qHjqpQuEn0TQj5zDnzw,84
342,zfARrndX5_VhYei3HU_ZfQ,424
343,fD3C2XYz7Ro3vjWsOE4yRg,643
344,PUWkIpcNAiycUD3Sih4_Jg,14
345,9tDqxtIeIa-HYWuIsJSHpw,8
346,yUm1QwyZeWi6ZbMkZ4XhBg,13
347,TqqA4l9AlmsdWMBkzFueMg,109
348,zMWyrUkmwHbcJ0r79ihrew,68
349,A8ynPWizUrIPH0cafcz9fA,159
350,R2LbKrWuHGUB6DJdDwJ4qg,45
351,KCjChu9dbeu4QBZ8snBU-g,20
352,msflwi9eJ0RIazvKyJ0oew,323
353,phdHgT0fPvu3U_V463I1aQ,21
354,XDD7ftvXJnsc95N9nJKioA,164
355,kaIy8BZYtLxlK4drtAPmiQ,398
356,obh41pGTK7mKFN33osr8VQ,25
357,32ZksV7GnEWRiU5exlbtCA,24
358,bYXD9wp8Pq765d1YB0tjmA,170
359,9StfnWHi-5LTiPtMAlGZVA,14
360,KIEMNmybAxclakugZ3UYUQ,9
361,IqdvnFkupniIQFLafrpUqQ,14
362,UGI6h6Xmk-G0t0FjABhooA,6
363,unZdR4reO0Kircz58XHuYA,160
364,JOdVxgdUhftaw0ftmy04Bw,24
365,T_yWETC7hyFIe_wPIRUfzg,142
366,stYo58ayB5XTY6kFlo100Q,21
367,42W2AAiHIzhdK2-Lko4WGw,17
368,YhMMMptXMwODGrWGwUpasQ,333
369,BKuJ8feLmWlIGtrKkJfJ0w,9
370,nfO_9gJ-_ObmYmO3ueXnrQ,10
371,0x1JRg1vqYbNITTxpbqxEA,14
372,fkdbaBiuM13XggNcu4fEhg,216
373,_0rblyfIRBEcX830ODndgw,144
374,BkSnF-_vtA1aVbo00_Z4LA,31
375,VLDJlWQyDuB33aA_zCtImg,334
376,W2e8AE4hG_CaBeCGz00Sow,52
377,Lgz5Og9gDv67vY37YNe4DQ,250
378,k05gtTmlZMMaPk-jdOoHaQ,83
379,4EWF9OpFVl0HGy30HMJm-A,32
380,6k3LlF3mggndfUgbA9j5rQ,278
381,2vlNkDUL6kCuYpxXT5OI7w,75
382,RK7_UxaaMrXVgYi4rQcHeA,33
383,jB1EG3vSyTb_dZ71OaFVLw,90
384,Cu0B7QpoB4M3INveolnSVw,11
385,-nUnmbSwcQkjRhs3Xt7PpQ,193
386,SzpZgg-csI2CfQaHYSupqQ,15
387,B_rTqXAJFSecnIInfoJk_Q,80
388,jk_xvwO4aghr13tGEZCEEQ,9
389,ckWyeYHGpzsFVDurVvzOfQ,30
390,xeryhbJ44aJIWY0kqTKItg,69
391,L36nnW6vNXVgIhDHT0otJg,515
392,2Uz6LeC2LHySdnlcruDHKg,42
393,kyHs3DKMzgWLNh1-VhWeKQ,925
394,RKTEGUPFUL0J9zB3qbygtg,25
395,LuS8GvL6VAMv9T314BjHCw,446
396,DjftshuDaEaluldrLkhRTQ,20
397,ELNiGdNiVgdcOkYWMXdtMA,538
398,dsV9r-7gOoZyf4BiPvKt4g,19
399,pS6QQQqNdPgx7FgNmtdSNw,192
400,_xOvnVlxdH_XNt_iT9S39g,9
401,_C9_AwSK8UWc5aDaNIb3cQ,31
402,ATxAckYtqcBGkjAnCehvAA,200
403,el5tkfC_ErEuJ0LDflkRgA,102
404,2KJufosWT6yZd1baw6E2MQ,23
405,2jeuvtdZ8fPU3hZu8ISA0Q,701
406,jaC8P3Hq0q-ayeXflsLnpQ,16
407,u94JtwkaMaaNkkBLvz1hDQ,212
408,qbmeDHXk2ilz06eI7T9AaQ,411
409,PutKiwnvHdmUSWhqa55_ag,62
410,Wjc7Us9DFfUPu-RWm325YA,170
411,r3XAQOhPvw9eSZt0ulhiHg,22
412,tfZm13Lnv0sx-8vDTjXfqg,94
413,ZXK-36vqjUOJHx497iiWMw,11
414,harCmnXSVx7BRivtt4RalQ,506
415,Z-zRuK1HIHMk8LiJfzJgJA,20
416,6uCjMkn_FH905_-CTLr1vQ,12
417,YVI16CMM1yJn069kLlxbLQ,53
418,mcatjl40EU_J_JQqJNZzYg,143
419,16PYTDPBT2JvEA2FG7sikQ,37
420,07yqp0x-1GW8j5lrfWh3bw,46
421,1e0849MDMgTkbRCX-mbW8g,47
422,-CHlmiozoc4JAqwUOu8ZbQ,432
423,xwRbkNutgQlUgGpbiBWKlw,54
424,QHVoKkn17bRG_3wwnXrzVQ,79
425,HmRdrpbmJ0VibkpJq2HDbg,19
426,a99oZJHptwT9xSIOu2Wp5A,359
427,WYPnUu0jOrzoB0v3mWdfCw,1210
428,6p9ptBttjEDychDelfO6UA,33
429,KhAibCzq1XS17pvwzQloRA,126
430,F55EAcg6SdIZWa802TccBQ,8
431,RP8Mx0OkLFKGfJLdtXbBsA,538
432,iuII9PFLuMShi-2W06ay2A,182
433,iLhun4VRhgPwpQfuDKkZ-Q,40
434,SIcy64bgp0_7IZubrhkmrw,112
435,FGXUDDiZmPpDYLE-ODpaoQ,303
436,EyTnzTrBiHlAToiaCFW4Bg,518
437,zncnkcO_GnJN5X2epYbrKw,934
438,OaixYBpZo__EbjVfV4ByXg,695
439,CKSwwfMfBDS3VUJYa4QEpQ,36
440,oP4JpYJ56vfJMrMRjn3BeA,888
441,WSwY5Pzgbq9NmdmPkfWUCw,10
442,4AE8RCof2aizRYQCuZxszA,156
443,BB-p-08vnf2V7-o3a5asMg,18
444,7B8xSsrJyaduoLBay_ICJQ,551
445,orww93GoyE5Z2a06L7KxoQ,1534
446,4b7aLYrSBY7PSI7TF4mbTQ,58
447,oq4RLNV2PLUkKcXXLNyxKg,49
448,BVYdGft2-8j8GXC97gOMmQ,34
449,9BQOE54eHf2EuZTM5Mj0aw,48
450,7IstGe43aHn33dlY1OVE3A,28
451,f76TT5uxAmaTS6nwMDWY4Q,391
452,_JmD-et-TEZgda2aU4DnNw,22
453,Ef5uqwdfz1gZqKIEbAxKhQ,189
454,RF_P2eINYJFwpE4lLWa5yA,70
455,MIiaEJAZMPklSOnDBsgD9A,19
456,qSb7jPqokbxwYRd0BgM9mw,116
457,VDA9B19RsASo40rP41DuMA,29
458,lfBiiBs8mtTy5pk_nx9J4w,28
459,AVNQ-pDjkwrp-ci5_i7WkQ,59
460,ZGFJ9R_GbinJDArelwdiYg,34
461,6WX_JKtqBoKuPsfBKfPAhA,343
462,4kFjhsT8EzjE8eozwIfarQ,19
463,d4b1a87L8n7B7BYI5wTDsQ,42
464,Mqlcs4e8wOTWHBpxo4V_yA,30
465,NgcT52EnZdQdjIjhcSF6lw,224
466,UxEdqmh6cBYngZ964NT33g,42
467,loH5jsDAg1mcV1tAQMDw1g,645
468,Gn4QNuUJo_IHl8-N-5YFiw,334
469,L8w2U55YmiDOTctTV09RkA,27
470,B3TrvneEkZEDwtCvfOhNuQ,83
471,QaffXbvdsJUQOLx2DeALdQ,208
472,OD2UBrdek7ORaLSzHVh1DA,99
473,fhKzq1uNkdYa31NYzU7iBQ,16
474,4Dq57rAG9VYayq9YSi_Cdw,31
475,U1NxM-G1Pzl1J7bigQyvEA,7
476,zhTMDNC6zpWHeuAQ5UBMuQ,13
477,auxg9dmIDhkEJdoJzpDhOg,449
478,E86gtkadm0pWc4oMxviQBA,36
479,FKOHSPc5LXAerG9HqZC2sg,39
480,_uPEjLSz1bowzZoTk_vGyg,70
481,xDcE2HuvEyGncGh39mZPKQ,351
482,44WEkQFlVhs0-GBzV6cTew,52
483,kwoLv1e7k6UExAJC_d1NJw,17
484,zyimMzOVKgM0DE3cU5yUiA,51
485,-N8FxB_XOajG751C7KfmaA,53
486,JTwP3H7QZgo7XK9EMNw-4A,196
487,amk-VBkEMKEHnpr7bLyM-Q,637
488,abq6M1hoV3O0P-h4C-ej2w,66
489,5AQR4mka_xM6JhW2zfRGrg,398
490,B8BaMDNrBfF48MjgAK3tDw,62
491,Gs8k0w9LOKQlaI8_vIStAA,32
492,yq5WbwqfcBGIOGvUngV6Ag,128
493,T5CjMojzETK0nfTLdMN3Bg,14
494,3n7ZGgDTbwCDwP0zpVIS6Q,27
495,lAGn2uryFqeHFcIOWxUTzQ,505
496,a5IFMGwpAWksYesErAmhAw,129
497,10FOuh3Ht3Iw4xPvNUT16A,76
498,drqQRGUlAcIgvQC7ZXbeeQ,305
499,PN-XcMRU2rHrEdhObcYsJw,12
500,GUrCllZr_iwg79Lg5-qnFw,14
501,QYcFDFI_TVLOGkCDuFjhVg,209
502,Q3UwtI_QoU-I2OghPcS50A,114
503,K2ntAw0KL4aw6NV9cjj9RQ,27
504,kf3vx3wh23Mk0drqd3zFZA,40
505,PHWWv6niVBaRBGUpmJucqQ,34
506,oqr6tcO7fV32n5s4kRxSmQ,1119
507,0-34zXQk2yUOIlAjDn6row,197
508,irQ1x5jdWYh2wM6-rA50tg,32
509,BBQgY8DqfD2jez898hpmow,49
510,8xzEYHa8i6d7usJwpPCqEA,114
511,Yq2pjaVGlUJ5_wroNKy2ZA,28
512,YSQRQM47yTKvxNfeHbxl_g,549
513,4D-CzA_iz9LIsrXb47ziEQ,126
514,ezizaFToyp6I4OLejs7k3g,417
515,zvn5zYC22WXfacPu_eqwKA,42
516,H3FcwD-h_yJG8bhxS7Rirw,39
517,WDJXvPgIo7vPJh0286ogxQ,404
518,smRurU3cYUHbzs87O94sSw,40
519,uFPjWUljngBA0LJmK78T-A,223
520,Xye_kLlALpm_f3SmaiQnSA,54
521,ZJlKHkT2ad5iZgnM17EYQQ,1015
522,dy0Wshm9gVIGrGghMJ_dDg,83
523,ZDhQUF6dU12BObiBKRLnPg,31
524,_-eHE2Xlq49lX_KMxtb0EA,12
525,f_7VJMqkQ_BMR420HJqXyg,1602
526,EU86XtrKyZwbZKlphOfA2w,78
527,ftLj_BAu7k2CPXtRfDTWwg,18
528,xDiVD_U5xx8mB73-afGJZA,202
529,D-WQUPFgBrbcOM9thsf6cw,37
530,sfD5YAAvujyLnmAPA6cjWw,80
531,sEC_hROZVErcTK5iAcXYmg,21
